24731637,1,1218224,1340046.4
id,quantity,item_price,total_sum
24713186,1,245880,250880
id,quantity,item_price,total_sum
24671822,1,30000000,30000000
24671821,1,15500000.01,15500000.01
24671820,1,30000000,30000000
24671819,1,40385000.01,40385000.01
id,quantity,item_price,total_sum
24657050,1,250880,250880
id,quantity,item_price,total_sum
24622494,190,1000,190000
id,quantity,item_price,total_sum
24622289,1,250000,250000
24622288,1,441000,441000
id,quantity,item_price,total_sum
24621955,1,924500,924500
24621954,1,25900,25900
id,quantity,item_price,total_sum
24590137,10,4500,75000
id,quantity,item_price,total_sum
24559783,1,100000,280000
id,quantity,item_price,total_sum
24559666,1,283702,431200
id,quantity,item_price,total_sum
24559569,1,108800,156800
id,quantity,item_price,total_sum
24559399,1,233939.88,291200
id,quantity,item_price,total_sum
24559171,1,830280.32,929600
id,quantity,item_price,total_sum
24558822,1,4216000,4596000
id,quantity,item_price,total_sum
24553419,1,30000,300000
id,quantity,item_price,total_sum
24454504,1,53902,53902
24454502,1,53902,53902
id,quantity,item_price,total_sum
24454249,10,3000,30000
24454248,2,3000,6000
id,quantity,item_price,total_sum
24378172,1,30000000,30000000
24378171,1,40385000.01,40385000.01
24378170,1,30000000,30000000
id,quantity,item_price,total_sum
24352696,600,142.24,85344
id,quantity,item_price,total_sum
24339844,1,1153256.36,1153256.36
id,quantity,item_price,total_sum
24338096,1,250000,250000
id,quantity,item_price,total_sum
24321360,1,42606400,42606400
24321359,1,824640,824640
id,quantity,item_price,total_sum
24237800,200,55,11000
id,quantity,item_price,total_sum
24237369,4,43250,173000
id,quantity,item_price,total_sum
24229523,1,65558880,65558880
24229522,1,3917040,3917040
id,quantity,item_price,total_sum
24229184,1,29600,29600
id,quantity,item_price,total_sum
24228383,1,103500,103500
id,quantity,item_price,total_sum
24216228,1,35000,35000
24216227,1,17500,17500
id,quantity,item_price,total_sum
24092993,5,11198.88,55994.4
id,quantity,item_price,total_sum
24016541,45,119999,5399955
id,quantity,item_price,total_sum
24016503,45,125400.8,5643036
id,quantity,item_price,total_sum
23954354,13,4678,60814
id,quantity,item_price,total_sum
23940211,35,2550.24,89258.4
id,quantity,item_price,total_sum
23939990,95,1420,134900
id,quantity,item_price,total_sum
23939785,40,1770,70800
23939784,50,1370,68500
id,quantity,item_price,total_sum
23939672,30,255,7650
23939671,40,255,10200
23939670,30,899,26970
id,quantity,item_price,total_sum
23939573,1,1017857,1017857
id,quantity,item_price,total_sum
23939474,30,5480,164400
id,quantity,item_price,total_sum
23869285,1,245000,245000
id,quantity,item_price,total_sum
23854803,14,17500,245000
id,quantity,item_price,total_sum
23671512,1200,130,156000
id,quantity,item_price,total_sum
23671181,1000,16,16000
23671180,2000,24,48000
id,quantity,item_price,total_sum
23562735,1,248000,248000
id,quantity,item_price,total_sum
23394325,3,8900000,26700000
id,quantity,item_price,total_sum
23336190,1,58240,58240
id,quantity,item_price,total_sum
23231175,1,6606118.4,6606118.4
id,quantity,item_price,total_sum
23192424,6,5000,30000
id,quantity,item_price,total_sum
23182362,1200,112.5,135000
id,quantity,item_price,total_sum
23175719,1,35000,35000
id,quantity,item_price,total_sum
23175502,2,9831,19662
id,quantity,item_price,total_sum
23175331,1,62692,62692
id,quantity,item_price,total_sum
23175073,3,79000,237000
id,quantity,item_price,total_sum
23174910,1,310000,310000
id,quantity,item_price,total_sum
23174611,1,54878.88,54878.88
id,quantity,item_price,total_sum
23171783,3,11790000,35370000
id,quantity,item_price,total_sum
23169875,1,179690.01,242219.01
id,quantity,item_price,total_sum
23075418,1,60000,60000
id,quantity,item_price,total_sum
22977832,1,5600000,5600000
22977827,1,4300000,5488000
id,quantity,item_price,total_sum
22922853,1,273000,273000
id,quantity,item_price,total_sum
22918640,1,22000,22000
id,quantity,item_price,total_sum
22898151,1,781000,781000
id,quantity,item_price,total_sum
22897369,1,18000,18000
id,quantity,item_price,total_sum
22887273,50,2055,102750
id,quantity,item_price,total_sum
22848026,1,1648800,1648800
id,quantity,item_price,total_sum
22766572,2,27000,54000
id,quantity,item_price,total_sum
22726550,1,15000,15000
id,quantity,item_price,total_sum
22723114,2,27613.6,55227.2
id,quantity,item_price,total_sum
22717116,1,87802,87802
id,quantity,item_price,total_sum
22716703,1,700000,700000
id,quantity,item_price,total_sum
22716587,5,38640,193200
id,quantity,item_price,total_sum
22716504,1,59000,59000
id,quantity,item_price,total_sum
22716184,1,49000,49000
id,quantity,item_price,total_sum
22631901,6,162064,972384
22631900,2,162064,324128
22631899,2,216160,432320
id,quantity,item_price,total_sum
22541626,1,4900,4900
id,quantity,item_price,total_sum
22528927,1,924500,924500
id,quantity,item_price,total_sum
22515841,3,44912,134736
id,quantity,item_price,total_sum
22355954,1,280000,280000
id,quantity,item_price,total_sum
22299110,1,30000000,30000000
